"V1","V2","V3","V4","V5","V6","V7"
"","Total","Total","","Total","",""
"Reporting Country/","","","Total","","Transmission","Days since last"
"Territory/Area  †","confirmed","confirmed","deaths","new","classification§","reported case"
"","‡ cases","new cases","","deaths","",""
"Western Pacific Region","","","","","",""
"China","82802","78","3331","4","Local transmission","0"
"Republic of Korea","10062","86","174","5","Local transmission","0"
"Australia","5224","248","23","2","Local transmission","0"
"Malaysia","3116","208","50","5","Local transmission","0"
"Philippines","2633","322","107","11","Local transmission","0"
"Japan","2617","233","65","8","Local transmission","0"
"Singapore","1049","49","4","1","Local transmission","0"
"New Zealand","774","51","1","0","Local transmission","0"
"Viet Nam","233","15","0","0","Local transmission","0"
"Brunei Darussalam","133","2","1","0","Local transmission","0"
"Cambodia","110","1","0","0","Local transmission","0"
"French Polynesia","37","0","0","0","Local transmission","2"
"Mongolia","14","0","0","0","Imported cases only","1"
"Lao People's","10","0","0","0","Local transmission","1"
"Democratic Republic","","","","","",""
"Fiji","7","2","0","0","Local transmission","0"
"Papua New Guinea","1","0","0","0","Imported cases only","13"
"Territories**","","","","","",""
"Guam","82","5","3","0","Local transmission","0"
"New Caledonia","18","2","0","0","Local transmission","0"
"Northern Mariana","8","2","1","1","Local transmission","0"
"Islands","","","","","",""
"(Commonwealth of","","","","","",""
"the)","","","","","",""
"European Region","","","","","",""
"Italy","115242","4668","13917","760","Local transmission","0"
"Spain","110238","8102","10003","950","Local transmission","0"
"Germany","79696","6174","1017","145","Local transmission","0"
"France","58327","2066","4490","471","Local transmission","0"
"The United Kingdom","33722","4244","2921","389","Local transmission","0"
"Switzerland","18844","1774","536","158","Local transmission","0"
"Turkey","18135","2456","356","79","Local transmission","0"
"Belgium","15348","1384","1011","183","Local transmission","0"
"Netherlands","14697","1083","1339","166","Local transmission","0"
"Austria","11129","418","158","12","Local transmission","0"
"Portugal","9034","783","209","22","Local transmission","0"
"Israel","6211","620","29","8","Local transmission","0"
"Sweden","5466","519","282","43","Local transmission","0"
"Norway","4935","270","42","10","Local transmission","0"
"Czechia","3858","269","44","5","Local transmission","0"
"Ireland","3849","402","98","13","Local transmission","0"
